"p1","p5","p10","p30","p60","p120","p180","p1440"
46878.56782,47317.33147,48223.01767,46172.41619,43982.20692,50178.80062,48997.72621,47458.72674
21826.55454,22171.62609,22608.39029,22765.74779,25736.56759,16497.57696,14500.64353,20884.97676
41372.38466,42211.31224,42941.89779,50246.40402,50852.36705,31638.92935,22654.41084,29175.29223
25655.04298,25423.99851,27413.32836,28186.08268,31458.1676,20545.34388,15256.58839,18375.53536
50482.22016,52220.54662,52035.86409,47893.13758,39635.98817,31757.84202,27352.26428,30933.6532
37457.55404,38321.73078,38382.32881,41253.35534,42080.14916,25694.50257,22528.79484,6431.758802
22300.49765,22142.22138,22695.22713,27016.9915,24754.14523,33867.21772,47142.64011,36326.50853
47055.19611,47199.54442,46792.92661,43335.31308,47951.1302,50732.89838,45295.19288,14635.95994
28464.32024,30023.52319,31925.89046,40620.43177,46736.50854,47294.56103,42885.39808,12278.68753
21344.4355,21134.83313,21298.28837,19646.65648,20533.02212,28985.66574,33111.22303,20918.95999
25233.39807,24973.08134,24641.27174,21351.46787,22566.92426,25868.44076,16105.77634,24049.712
