"p1","p5","p10","p30","p60","p120","p180","p1440"
35553.2774,35224.45794,34344.00281,34984.05989,33812.04411,32472.28522,42569.64911,51172.76132
23165.74538,22715.78857,22259.75128,19568.28211,13341.73572,13278.77537,12004.2907,24633.94222
31884.13287,31363.53711,30012.32847,30716.26665,42386.60324,45798.53628,29859.12326,18675.93698
29300.90869,28298.07075,27424.2801,28123.00141,30549.59818,41983.51352,27564.61071,29084.24312
24974.1828,25094.64629,25239.69136,27148.1549,19634.82866,12602.10804,18923.79816,47686.57908
15760.9634,15431.57137,14738.82188,14725.02627,14763.09716,14748.61924,14751.80538,13412.99583
28756.93014,26673.22137,24718.47948,24357.92464,29787.84178,29247.85813,30600.06621,18241.54471
34657.5113,34688.26581,34931.0245,44010.00832,45448.1253,44370.11764,23876.08257,21444.57126
16354.42575,17224.32955,17606.82743,17821.07637,18190.89644,22949.47192,19580.93113,38272.56276
14250.83621,14633.60945,15505.6071,16155.69324,14217.66273,14243.09666,14862.99624,15926.77322
21861.77035,21018.35779,20011.33249,15952.12252,7759.61737,10403.4206,21413.73615,34823.78689
28444.16397,28151.5251,27477.24063,23874.32926,21330.31618,22815.5507,37511.95683,44808.77468
19118.04502,19184.74083,20065.50925,26949.98525,28436.43879,27924.23741,24229.54031,12574.05356
25874.17303,25410.01159,26344.81949,27193.35877,30153.76801,39457.72576,16172.87718,31618.4733
33919.068,33301.20555,32418.4159,30387.65644,29814.75787,32025.9058,45840.69087,21522.87859
31705.97296,30946.32096,30620.5817,30386.55397,31582.82116,40639.55906,39235.95992,45064.0182
17762.04948,18757.57034,18834.80322,23507.20139,36336.99922,46968.7879,41480.01103,23812.0927
15264.62729,14691.67927,14665.70035,17451.06859,18554.39098,14586.88828,14471.29274,36790.47586
32367.4253,34078.80346,36238.56861,41106.07326,44427.7935,41981.60498,44651.22383,26423.59409
28891.37468,28868.94174,28461.70179,26546.91926,26925.89698,23858.21915,14554.82161,38922.56744
31385.71,32778.42135,33772.13336,37974.40754,42948.09155,33049.80685,27650.64902,13711.79911
19494.60725,19971.27482,20289.39868,22804.59148,26565.2136,23601.00427,13932.71901,38816.5924
12349.36531,11318.50073,10948.12509,15233.66327,18281.55149,21359.01458,21461.70111,35718.22744
27466.10862,28119.86112,28888.81112,29603.94812,30983.45624,40215.13611,25447.76717,41715.60114
47460.74776,47447.11196,47431.00515,47379.12285,42738.66567,31035.18909,23705.72405,43280.33505
47176.79636,46650.57054,46861.94767,42819.75972,37500.82029,22203.80695,26132.94418,45289.87675
32497.79476,32739.06102,32801.1478,32761.08937,27947.13844,13971.51076,26780.88987,38995.37963
31689.58782,30033.61755,27578.65037,24394.39555,24774.31981,27247.08488,17528.03404,16483.51356
48420.93422,47290.2361,47232.03594,40016.41461,30547.0299,39139.02091,38685.63276,46489.76483
30510.30279,30380.2828,29989.94015,26758.71051,23115.61164,23553.98728,26489.40595,24732.38903
26878.38133,27332.36626,28182.65354,30234.08481,36057.08171,46604.74319,39719.8299,33023.14197
27384.51761,27482.94312,26880.21822,23697.38056,27139.46682,29417.9083,25559.28718,29043.61589
17372.81077,16098.7558,15123.58793,9650.990504,8036.202996,14813.59196,18440.37545,24409.88202
22628.35655,21719.28181,21290.334,22821.22567,26795.55733,17718.53042,30104.25091,36761.70863
27794.26137,28106.62392,28825.9327,30754.90637,43489.14083,51885.89314,48101.61506,21359.41822
22272.27781,20684.35869,18741.59491,15047.19861,12551.40869,10391.70233,11209.95682,30409.91975
