,time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value,
77,2013/12/12 1:34,25078.60039,24719.72929,35442.72963,25017.81036,25356.75219,NA,NA,24641.2717,
78,2013/12/2 13:36,24304.36805,24353.16883,22725.7082,26831.52388,25752.37113,NA,NA,24229.5785,
79,2013/12/24 18:55,32233.5436,32644.17517,41112.30105,31205.45351,31982.91177,NA,NA,32456.2721,
80,2013/12/1 18:28,14584.30181,14055.08708,21702.81741,16122.6301,15751.37809,NA,NA,14095.822,
81,2013/12/4 9:36,15313.33309,15035.64484,15867.37339,15720.67722,16229.08222,NA,NA,15001.6532,
82,2013/12/20 14:29,27557.23851,27510.4425,18782.28551,25489.051,24720.94211,NA,NA,27466.9868,
83,2013/12/10 11:07,22639.72121,22313.20773,19721.62903,25351.88497,27299.5769,NA,NA,22323.2097,
84,2013/12/22 5:01,32672.07438,32381.06226,42843.1498,34390.34372,27712.98763,NA,NA,32578.6765,
85,2013/12/8 5:27,31664.51643,31923.60311,39194.58189,29196.4741,29655.14468,NA,NA,13323.8898,
86,2013/12/2 20:20,47571.75681,48201.83996,41466.80641,46166.60739,44515.55493,NA,NA,47980.0958,
87,2013/11/25 18:36,9220.256855,8836.746348,14494.75016,12104.74537,7611.719782,NA,NA,8826.45595,
88,2013/12/6 8:39,35060.74609,34970.60395,27676.61026,32888.30314,37152.54988,NA,NA,35154.313,
89,2013/12/23 4:27,26761.23743,26844.22535,33131.23782,22603.0325,24497.45216,NA,NA,26726.0677,
90,2013/12/6 9:19,45211.57716,45564.5381,43374.06708,44037.76722,45358.36089,NA,NA,45526.2002,
91,2013/12/5 9:58,35322.38181,35845.59881,40595.519,33369.47797,34164.61553,NA,NA,35553.2774,
92,2013/11/27 14:47,23429.88769,23582.24415,18356.47347,25137.71666,21581.84833,NA,NA,23165.7454,
93,2013/12/21 18:13,31886.12464,31980.28825,39567.47353,31460.92206,30531.03215,NA,NA,31884.1329,
94,2013/12/19 15:07,29464.39423,29485.00369,34617.43539,32580.40922,28632.75353,NA,NA,29300.9087,
95,2013/12/22 14:22,25140.9699,24931.49304,20379.65262,24605.31078,25762.74737,NA,NA,24974.1828,
96,2013/12/26 23:54,16112.86833,15683.74919,14426.07176,15637.49932,15562.57215,NA,NA,15760.9634,
97,2013/12/21 15:27,29112.68316,28795.51487,26873.44025,31885.65789,29741.49489,NA,NA,28756.9301,
98,2013/12/16 0:01,34729.26848,34685.54381,42309.60442,36709.17717,33899.46948,NA,NA,34657.5113,
99,2013/12/16 18:00,16556.19222,16393.9449,13559.04258,15475.29428,16447.54873,NA,NA,16354.4258,
100,2013/12/25 0:18,14698.99026,14173.23769,21040.43192,16296.42836,13801.6118,NA,NA,14250.8362,
101,2013/12/8 14:06,22169.42684,21986.37907,23772.25359,23042.85345,22971.54174,NA,NA,21861.7704,
102,2013/12/15 12:00,28661.01284,28191.15389,25222.20041,33213.76036,31499.55146,NA,NA,28444.164,
103,2013/11/24 19:23,19248.90951,19006.27365,21136.31251,20917.86815,18653.44686,NA,NA,19118.045,
104,2013/11/25 14:58,26105.56436,25691.59918,20773.5833,23645.40474,27009.27177,NA,NA,25874.173,
105,2013/12/7 14:09,34005.11048,33784.37828,33432.17746,37465.12678,34993.30113,NA,NA,33919.068,
106,2013/11/25 8:25,31874.14596,31586.95533,41900.96739,36169.37287,34394.38195,NA,NA,31705.973,
107,2013/12/9 13:11,18135.10562,17764.13623,14538.62222,18958.37822,20978.18551,NA,NA,17762.0495,
108,2013/12/27 15:28,16126.37339,15435.94581,19858.6395,16106.18432,17358.35789,NA,NA,15264.6273,
109,2013/12/21 0:15,31742.25323,32293.84116,26444.26777,27723.76386,28818.49326,NA,NA,32367.4253,
110,2013/12/5 20:22,29044.25448,29072.77005,25472.00279,29584.90607,29540.76323,NA,NA,28891.3747,
111,2013/12/12 7:35,31245.27475,31398.44421,33574.03449,32211.36474,31747.35699,NA,NA,31385.71,
112,2013/12/22 13:13,19631.53824,19305.33124,19473.10122,19895.51971,17036.2877,NA,NA,19494.6073,
113,2013/12/14 4:47,12933.2853,12290.06861,15573.89765,14505.5718,13619.00892,NA,NA,12349.3653,
114,2013/12/20 14:30,27530.4233,27230.22369,29413.33177,25213.33277,28437.7206,NA,NA,27466.1086,
115,2013/11/26 9:14,46952.40984,47774.56065,42616.35965,42377.32181,45118.57964,NA,NA,47460.7478,
116,2013/11/26 9:45,46773.07421,47210.31475,40068.77905,42584.88864,46890.95669,NA,NA,47176.7964,
117,2013/12/10 6:40,32221.96416,32419.55067,38497.98874,30628.10065,31709.925,NA,NA,32497.7948,
118,2013/12/12 11:51,31953.07142,31437.16666,27812.5241,32560.74862,32996.79611,NA,NA,31689.5878,
119,2013/12/6 18:16,48099.56327,48380.39674,40762.56176,45562.93296,47985.41349,NA,NA,48420.9342,
120,2013/11/25 12:24,30620.54226,30641.32026,36228.25782,31047.07468,30901.25905,NA,NA,30510.3028,
121,2013/12/21 4:59,27064.19957,26891.47559,30096.60184,28299.65407,24325.89984,NA,NA,26878.3813,
122,2013/12/18 18:02,27378.27316,27378.29243,26821.48739,25746.41369,26166.7144,NA,NA,27384.5176,
123,2013/12/28 4:26,17875.33378,17221.65059,20582.60331,17898.36395,19813.56691,NA,NA,17372.8108,
124,2013/11/26 11:42,23143.57004,22575.1205,18596.96793,25217.50879,26257.16669,NA,NA,22628.3566,
125,2013/11/24 13:44,27716.05036,27847.05557,22133.50832,27004.49376,28775.66818,NA,NA,27794.2614,
126,2013/12/10 17:38,22731.87819,22465.2767,20263.15965,26142.75194,23435.86175,NA,NA,22272.2778,
127,2013/11/30 23:29,22535.34057,22109.35656,21325.97252,26351.5829,21449.21655,NA,NA,22080.3194,
128,2013/12/2 16:41,36634.95566,36794.16107,34589.96135,35638.63549,36150.6134,NA,NA,36783.0629,
129,2013/12/6 12:35,32449.7351,32439.54508,42601.17375,35237.11141,32530.15671,NA,NA,32379.9394,
130,2013/11/25 15:41,28034.46152,27938.4004,27014.51809,26538.84974,30259.31663,NA,NA,27953.5289,
131,2013/12/15 16:24,23182.27637,23083.73431,17699.95695,22204.65087,24073.8689,NA,NA,23064.4295,
132,2013/12/13 4:15,21842.5312,22132.41933,19418.78323,20464.12051,19275.89853,NA,NA,21948.6653,
133,2013/12/10 16:13,26136.97879,25994.29345,25465.14307,21448.25965,26051.94521,NA,NA,26237.2543,
134,2013/12/20 22:15,18648.10589,18753.50824,16941.03397,19927.73867,18143.89611,NA,NA,18410.2709,
135,2013/12/2 8:31,32760.51317,32948.39172,39544.72224,37897.23622,33993.69133,NA,NA,33013.0447,
136,2013/12/21 18:09,32757.7809,32553.22232,34888.8786,31038.74998,34511.61869,NA,NA,32516.9324,
137,2013/11/25 3:09,31670.17711,31214.6725,38712.37967,35660.08601,32604.27997,NA,NA,31237.5352,
138,2013/12/24 20:49,45511.16514,46075.48471,40879.37413,44072.52937,44970.29437,NA,NA,45739.0489,
139,2013/12/12 12:57,24585.6641,24475.08305,23323.59337,24164.00892,25598.47932,NA,NA,24436.8875,
140,2013/11/27 19:20,25976.4982,25973.00047,21622.42217,21919.46427,27321.53186,NA,NA,25958.0045,
141,2013/12/19 15:06,29289.10568,29596.28286,36889.89487,31938.86213,29587.83961,NA,NA,29486.7416,
142,2013/12/10 12:53,23367.90209,23137.16079,17259.67127,21494.35795,22911.61231,NA,NA,23295.6453,
143,2013/11/26 12:34,26113.19232,26624.85283,19559.26178,22723.2291,25218.68931,NA,NA,26364.7733,
144,2013/12/19 9:57,29416.16025,29518.40231,20397.07422,27166.82968,28308.23309,NA,NA,29417.8979,
145,2013/12/5 11:32,26847.24708,26648.84938,25061.41368,27385.64235,32112.1201,NA,NA,26448.0487,
146,2013/11/30 11:27,32105.59109,32391.73362,27488.7984,29825.61809,29428.41879,NA,NA,32358.2129,
147,2013/12/28 11:37,41618.11367,42393.40954,43938.99827,39468.77709,38344.48564,NA,NA,42545.3899,
148,2013/11/30 3:47,25920.97108,25987.39402,21642.29574,23548.66947,24917.57624,NA,NA,26072.3311,
149,2013/12/11 22:12,43054.23022,43637.32428,39836.54843,43637.92403,41320.01897,NA,NA,43704.8504,
150,2013/11/27 5:12,46979.73674,47482.1809,42621.20578,47150.77409,45608.70277,NA,NA,47583.7877,
151,2013/12/14 1:46,35685.7005,35934.21716,43223.04084,36653.70895,36249.53855,NA,NA,36077.433,
152,2013/12/17 2:26,36807.29591,37307.67092,36469.43495,33101.73828,32420.17258,NA,NA,37168.1567,
153,2013/12/11 18:59,26193.47807,25978.34538,23131.30003,26119.1657,25076.73121,NA,NA,26112.0385,
154,2013/12/15 14:13,25909.05178,25982.41359,21417.04385,23467.36352,24183.1616,NA,NA,26261.3129,
155,2013/12/2 1:16,17321.95711,16667.39394,23345.79319,21314.85726,12689.37865,NA,NA,16926.5292,
156,2013/12/23 8:40,30913.66546,30670.05425,33452.86041,31903.91766,33132.6441,NA,NA,30693.9138,
157,2013/12/11 9:42,47018.58938,47482.7127,47318.61345,46818.58184,50699.33563,NA,NA,47333.0246,
158,2013/12/22 10:34,22870.37484,22844.26222,20612.18509,20615.50148,23191.68856,NA,NA,22791.0424,
159,2013/12/10 8:18,19984.74517,19418.74415,24907.21135,23166.23765,20890.12845,NA,NA,19359.1793,
160,2013/12/16 10:14,39780.3656,40384.78771,39889.95864,42087.6943,40054.98888,NA,NA,40145.8541,
161,2013/11/24 21:37,27504.50075,27640.34479,24670.47853,27376.49189,29592.49764,NA,NA,27518.2038,
162,2013/12/13 10:30,13545.98137,12894.16856,17185.64764,16082.46615,15977.78551,NA,NA,12966.9563,
163,2013/12/9 10:06,15318.15824,14980.56638,17018.97739,14902.25843,14631.68785,NA,NA,14928.1565,
164,2013/12/5 8:04,29064.87304,29098.65424,19716.0075,26876.6506,26735.01649,NA,NA,29208.3481,
165,2013/12/18 6:18,25587.48926,25192.36215,23924.31123,27513.06088,28416.81702,NA,NA,25052.1709,
166,2013/12/15 23:23,32021.88662,32077.02847,37248.48277,33741.07223,32748.85403,NA,NA,32079.9869,
167,2013/11/24 14:08,29522.99905,29509.89631,26780.38274,26772.85016,27938.81119,NA,NA,29611.5693,
168,2013/11/24 18:12,36657.9987,36627.94057,38358.49557,36504.04756,37502.53551,NA,NA,36782.6171,
169,2013/11/27 12:51,30870.44825,30649.40603,24656.93415,29331.71721,31250.15338,NA,NA,30588.3817,
170,2013/12/19 23:02,25016.12304,25070.48199,19317.92765,20170.55822,22446.64615,NA,NA,25179.2361,
171,2013/11/28 21:09,10873.5782,10660.44721,25727.53522,25291.731,9147.602593,NA,NA,10548.1345,
172,2013/12/7 14:28,30833.56473,30786.08997,34655.46989,33704.86991,32566.00826,NA,NA,30760.3089,
173,2013/12/13 3:08,20319.21334,19980.86587,20659.64971,18727.88903,24683.60512,NA,NA,19983.8926,
174,2013/12/1 16:22,30582.85682,30583.16632,40938.63839,33529.13586,31165.24648,NA,NA,30563.4386,
175,2013/12/10 10:23,34098.77005,34489.05232,43980.6544,31726.50141,34773.16509,NA,NA,34451.0751,
176,2013/12/5 10:01,34897.37966,35149.31173,24047.85314,34358.6031,34039.63447,NA,NA,35266.2969,
177,2013/12/20 13:39,27562.02345,27505.08923,24628.11458,28065.76813,26448.4616,NA,NA,27451.872,
178,2013/12/23 14:35,47694.49824,48034.68143,42217.81292,44098.10764,47551.86712,NA,NA,47943.3481,
179,2013/12/1 21:18,20161.65144,19814.87636,25618.58719,22745.36523,21046.97888,NA,NA,19742.093,
180,2013/11/26 0:46,29608.76865,29678.06721,19899.5523,26012.8582,28794.42783,NA,NA,29705.3417,
181,2013/12/22 13:03,18444.73719,17959.36756,19951.05094,18629.64932,22185.57808,NA,NA,18059.9294,
182,2013/11/25 9:12,30681.88819,30842.9096,27721.61964,30384.73677,31340.62341,NA,NA,30800.6661,
183,2013/12/6 19:39,32008.01401,32077.70126,38539.4934,31711.78853,31910.07849,NA,NA,32149.4277,
184,2013/12/28 1:14,12593.88852,12394.95693,15706.17493,14749.34203,11454.42633,NA,NA,12352.4199,
185,2013/12/26 21:55,16642.25599,16403.35647,18473.53258,15583.91692,16564.03809,NA,NA,16891.0887,
186,2013/12/25 7:33,43081.52499,43545.18836,47359.79597,43874.38473,46531.82175,NA,NA,43531.4851,
187,2013/12/11 23:07,31723.12001,31557.43714,42343.33067,37565.47077,35014.75479,NA,NA,31468.2908,
188,2013/12/14 13:10,47685.3633,48834.15807,28316.90313,39650.15792,32047.9541,NA,NA,48446.2012,
189,2013/12/12 10:57,29674.48862,29386.73532,34480.71869,28374.44509,31594.70119,NA,NA,29457.0368,
190,2013/12/17 14:01,31285.02202,31707.00223,36149.00869,28976.61002,30931.389,NA,NA,31773.1123,
191,2013/12/10 20:53,15300.29668,15221.30202,12845.46474,12574.75112,14069.37649,NA,NA,15237.1642,
192,2013/12/28 9:45,23682.77618,23224.31741,20110.40079,26428.0056,25777.07453,NA,NA,23207.8267,
193,2013/12/11 17:42,30434.73985,30254.40777,37718.0271,28926.9263,29777.46563,NA,NA,30409.7803,
194,2013/12/13 15:26,22534.09878,21912.99858,22862.64378,26202.58038,24559.05401,NA,NA,21990.5967,
195,2013/12/15 0:57,15710.44791,15532.87638,17353.18993,17450.50281,15994.67387,NA,NA,15435.5577,
196,2013/11/26 22:14,42751.68526,43437.67911,44217.33675,41953.01861,42112.17967,NA,NA,43530.2716,
197,2013/12/11 14:36,34641.24446,34969.95805,43769.11645,38855.1914,36080.59242,NA,NA,34719.0395,
198,2013/12/12 22:25,12899.80086,12711.61929,16537.24767,12171.19502,13612.62336,NA,NA,12732.6553,
199,2013/12/3 21:17,22891.098,22593.60357,24017.01127,23469.99177,25484.25606,NA,NA,22543.222,
200,2013/12/1 19:44,23647.42541,23195.879,23235.67684,23190.66882,22572.32799,NA,NA,23248.5925,
201,2013/12/13 17:46,18672.81753,18303.5658,17916.98499,18516.9855,20594.97064,NA,NA,18346.8243,
202,2013/12/5 22:55,22882.46743,22569.77864,20364.546,21143.67747,24491.16087,NA,NA,22568.5707,
203,2013/12/13 1:17,25938.84462,26071.38869,17672.64159,25447.88084,23560.07074,NA,NA,25861.7679,
204,2013/12/4 14:28,21650.11963,21313.18112,22910.3558,24595.06766,20780.48096,NA,NA,21340.3264,
205,2013/11/24 23:17,34094.30444,34226.62186,41728.26829,35647.64491,33951.91552,NA,NA,34176.6714,
206,2013/11/27 7:31,34463.61152,34715.60019,39754.15142,35537.92318,36614.60746,NA,NA,34665.5698,
207,2013/12/12 22:00,7053.960849,6372.055194,18800.19766,16299.59157,10709.28513,NA,NA,6418.43321,
208,2013/11/26 14:13,27445.40897,27716.92501,23148.93917,22908.48634,24056.57582,NA,NA,27654.0279,
209,2013/11/30 14:30,38128.35947,38600.66471,42220.452,38172.99429,36392.06662,NA,NA,38625.8984,
210,2013/11/26 6:22,41833.21329,41978.11954,44040.22344,44089.94151,41211.25506,NA,NA,42081.3987,
211,2013/12/11 10:40,41845.33415,42190.40965,42003.43323,40688.11788,41677.23859,NA,NA,42184.2798,
212,2013/12/19 10:23,28564.83353,28589.04806,37468.83715,32215.41617,27449.6345,NA,NA,28632.064,
213,2013/12/22 22:56,45761.71239,45785.8923,45872.54109,45897.16409,45267.97299,NA,NA,46038.7964,
214,2013/12/26 14:43,38580.67978,38881.38065,35609.90213,36472.6652,38125.70977,NA,NA,38748.0407,
215,2013/12/16 4:20,24506.38321,24374.17038,18173.62353,21398.54335,24513.12395,NA,NA,24310.0484,
216,2013/11/26 2:44,46814.08607,47422.02515,38877.33902,43599.31421,47449.39827,NA,NA,47374.1771,
217,2013/11/30 19:47,37958.00358,38222.21696,32606.44834,34725.00124,36525.54936,NA,NA,38154.953,
218,2013/12/16 3:04,23948.32783,23631.35824,21581.83132,25653.38557,23370.87588,NA,NA,23693.7131,
219,2013/11/29 16:11,24280.34881,24039.96191,15698.95657,20837.63288,25377.36586,NA,NA,24079.8856,
220,2013/12/20 10:04,30716.3983,30852.57014,31646.88596,30232.22439,30135.56857,NA,NA,30996.529,
221,2013/12/24 10:23,24890.34916,24469.59202,18500.5528,27579.61444,27270.50244,NA,NA,24509.9758,
222,2013/11/25 1:24,46092.91664,46534.77528,37080.13584,42910.9099,46591.60961,NA,NA,46520.7355,
223,2013/12/23 3:53,25463.74267,25424.09143,21874.13709,25360.34517,26137.37014,NA,NA,25422.5694,
224,2013/12/27 8:20,19809.81726,19356.84627,17354.23291,19582.36608,18920.94653,NA,NA,19219.8809,
225,2013/12/22 12:27,17832.79738,17526.09862,18937.82308,17805.05307,16031.88236,NA,NA,17516.1926,
226,2013/11/24 17:43,45980.39491,46327.89902,37405.85739,43141.01229,48156.41897,NA,NA,46217.2642,
227,2013/11/28 21:54,18361.80019,18119.01116,19702.37366,15309.38612,14068.486,NA,NA,18236.6927,
